idx	op_type	name	inputs	outputs
122	Conv	/decoder/convnext.7/pwconv1/Conv	['/decoder/convnext.7/norm/Transpose_1_output_0', 'tts.ae.decoder.convnext.7.pwconv1.weight', 'tts.ae.decoder.convnext.7.pwconv1.bias']	['/decoder/convnext.7/pwconv1/Conv_output_0']
123	Div	/decoder/convnext.7/act/Div	['/decoder/convnext.7/pwconv1/Conv_output_0', '/decoder/convnext.0/act/Constant_output_0']	['/decoder/convnext.7/act/Div_output_0']
124	Erf	/decoder/convnext.7/act/Erf	['/decoder/convnext.7/act/Div_output_0']	['/decoder/convnext.7/act/Erf_output_0']
125	Add	/decoder/convnext.7/act/Add	['/decoder/convnext.7/act/Erf_output_0', '/decoder/convnext.0/act/Constant_1_output_0']	['/decoder/convnext.7/act/Add_output_0']
126	Mul	/decoder/convnext.7/act/Mul	['/decoder/convnext.7/pwconv1/Conv_output_0', '/decoder/convnext.7/act/Add_output_0']	['/decoder/convnext.7/act/Mul_output_0']
127	Mul	/decoder/convnext.7/act/Mul_1	['/decoder/convnext.7/act/Mul_output_0', '/decoder/convnext.0/act/Constant_2_output_0']	['/decoder/convnext.7/act/Mul_1_output_0']
128	Conv	/decoder/convnext.7/pwconv2/Conv	['/decoder/convnext.7/act/Mul_1_output_0', 'tts.ae.decoder.convnext.7.pwconv2.weight', 'tts.ae.decoder.convnext.7.pwconv2.bias']	['/decoder/convnext.7/pwconv2/Conv_output_0']
129	Mul	/decoder/convnext.7/Mul	['tts.ae.decoder.convnext.7.gamma', '/decoder/convnext.7/pwconv2/Conv_output_0']	['/decoder/convnext.7/Mul_output_0']
130	Add	/decoder/convnext.7/Add	['/decoder/convnext.6/Add_output_0', '/decoder/convnext.7/Mul_output_0']	['/decoder/convnext.7/Add_output_0']
131	Pad	/decoder/convnext.8/dwconv/Pad	['/decoder/convnext.7/Add_output_0', '/decoder/embed/Cast_output_0']	['/decoder/convnext.8/dwconv/Pad_output_0']
132	Conv	/decoder/convnext.8/dwconv/net/Conv	['/decoder/convnext.8/dwconv/Pad_output_0', 'tts.ae.decoder.convnext.8.dwconv.net.weight', 'tts.ae.decoder.convnext.8.dwconv.net.bias']	['/decoder/convnext.8/dwconv/net/Conv_output_0']
133	Transpose	/decoder/convnext.8/norm/Transpose	['/decoder/convnext.8/dwconv/net/Conv_output_0']	['/decoder/convnext.8/norm/Transpose_output_0']
